Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
359.10	16.500	23.317	0.042887	1.6678	2.3754	4.8019	78.704	94.777	1032.5	-0.24840	undefined	undefined	liquid
359.10	16.600	23.321	0.042881	1.6659	2.3778	4.7965	78.700	94.767	1033.2	-0.24856	undefined	undefined	liquid
359.10	16.700	23.324	0.042874	1.6641	2.3801	4.7911	78.695	94.756	1033.8	-0.24872	undefined	undefined	liquid
359.10	16.800	23.328	0.042868	1.6623	2.3825	4.7857	78.691	94.746	1034.5	-0.24887	undefined	undefined	liquid
359.10	16.900	23.331	0.042861	1.6605	2.3848	4.7804	78.686	94.736	1035.1	-0.24903	undefined	undefined	liquid
359.10	17.000	23.335	0.042855	1.6587	2.3872	4.7750	78.682	94.726	1035.8	-0.24918	undefined	undefined	liquid
359.10	17.100	23.338	0.042848	1.6568	2.3895	4.7697	78.677	94.716	1036.4	-0.24934	undefined	undefined	liquid
359.10	17.200	23.342	0.042842	1.6550	2.3919	4.7643	78.672	94.706	1037.0	-0.24949	undefined	undefined	liquid
359.10	17.300	23.345	0.042836	1.6532	2.3943	4.7590	78.668	94.696	1037.7	-0.24965	undefined	undefined	liquid
359.10	17.400	23.349	0.042829	1.6514	2.3966	4.7536	78.663	94.686	1038.3	-0.24980	undefined	undefined	liquid
359.10	17.500	23.352	0.042823	1.6496	2.3990	4.7483	78.659	94.676	1039.0	-0.24995	undefined	undefined	liquid
359.10	17.600	23.356	0.042816	1.6478	2.4014	4.7429	78.654	94.666	1039.6	-0.25010	undefined	undefined	liquid
359.10	17.700	23.359	0.042810	1.6460	2.4037	4.7376	78.650	94.656	1040.2	-0.25026	undefined	undefined	liquid
359.10	17.800	23.362	0.042804	1.6442	2.4061	4.7323	78.645	94.646	1040.9	-0.25041	undefined	undefined	liquid
359.10	17.900	23.366	0.042797	1.6424	2.4085	4.7270	78.641	94.636	1041.5	-0.25056	undefined	undefined	liquid
359.10	18.000	23.369	0.042791	1.6406	2.4108	4.7217	78.637	94.627	1042.1	-0.25071	undefined	undefined	liquid
359.10	18.100	23.373	0.042785	1.6388	2.4132	4.7164	78.632	94.617	1042.8	-0.25086	undefined	undefined	liquid
359.10	18.200	23.376	0.042778	1.6370	2.4156	4.7111	78.628	94.607	1043.4	-0.25101	undefined	undefined	liquid
359.10	18.300	23.380	0.042772	1.6352	2.4180	4.7058	78.623	94.597	1044.0	-0.25116	undefined	undefined	liquid
359.10	18.400	23.383	0.042766	1.6335	2.4203	4.7005	78.619	94.587	1044.7	-0.25131	undefined	undefined	liquid
359.10	18.500	23.387	0.042760	1.6317	2.4227	4.6952	78.615	94.578	1045.3	-0.25145	undefined	undefined	liquid
359.10	18.600	23.390	0.042753	1.6299	2.4251	4.6899	78.610	94.568	1045.9	-0.25160	undefined	undefined	liquid
359.10	18.700	23.393	0.042747	1.6281	2.4275	4.6846	78.606	94.558	1046.5	-0.25175	undefined	undefined	liquid
359.10	18.800	23.397	0.042741	1.6263	2.4299	4.6793	78.602	94.549	1047.2	-0.25189	undefined	undefined	liquid
359.10	18.900	23.400	0.042734	1.6246	2.4322	4.6741	78.597	94.539	1047.8	-0.25204	undefined	undefined	liquid
359.10	19.000	23.404	0.042728	1.6228	2.4346	4.6688	78.593	94.529	1048.4	-0.25219	undefined	undefined	liquid
359.10	19.100	23.407	0.042722	1.6210	2.4370	4.6636	78.589	94.520	1049.0	-0.25233	undefined	undefined	liquid
359.10	19.200	23.411	0.042716	1.6193	2.4394	4.6583	78.584	94.510	1049.7	-0.25248	undefined	undefined	liquid
359.10	19.300	23.414	0.042710	1.6175	2.4418	4.6531	78.580	94.501	1050.3	-0.25262	undefined	undefined	liquid
359.10	19.400	23.417	0.042703	1.6157	2.4442	4.6478	78.576	94.491	1050.9	-0.25277	undefined	undefined	liquid
359.10	19.500	23.421	0.042697	1.6140	2.4466	4.6426	78.571	94.482	1051.5	-0.25291	undefined	undefined	liquid
359.10	19.600	23.424	0.042691	1.6122	2.4490	4.6373	78.567	94.472	1052.1	-0.25305	undefined	undefined	liquid
359.10	19.700	23.428	0.042685	1.6105	2.4513	4.6321	78.563	94.463	1052.8	-0.25320	undefined	undefined	liquid
359.10	19.800	23.431	0.042679	1.6087	2.4537	4.6269	78.559	94.453	1053.4	-0.25334	undefined	undefined	liquid
359.10	19.900	23.434	0.042672	1.6069	2.4561	4.6217	78.555	94.444	1054.0	-0.25348	undefined	undefined	liquid
359.10	20.000	23.438	0.042666	1.6052	2.4585	4.6165	78.550	94.434	1054.6	-0.25362	undefined	undefined	liquid
359.10	20.100	23.441	0.042660	1.6035	2.4609	4.6112	78.546	94.425	1055.2	-0.25376	undefined	undefined	liquid
359.10	20.200	23.444	0.042654	1.6017	2.4633	4.6060	78.542	94.416	1055.8	-0.25390	undefined	undefined	liquid
359.10	20.300	23.448	0.042648	1.6000	2.4657	4.6008	78.538	94.406	1056.5	-0.25404	undefined	undefined	liquid
359.10	20.400	23.451	0.042642	1.5982	2.4681	4.5956	78.534	94.397	1057.1	-0.25418	undefined	undefined	liquid
359.10	20.500	23.454	0.042636	1.5965	2.4705	4.5905	78.529	94.388	1057.7	-0.25432	undefined	undefined	liquid
359.10	20.600	23.458	0.042630	1.5947	2.4729	4.5853	78.525	94.378	1058.3	-0.25446	undefined	undefined	liquid
359.10	20.700	23.461	0.042624	1.5930	2.4753	4.5801	78.521	94.369	1058.9	-0.25460	undefined	undefined	liquid
359.10	20.800	23.465	0.042618	1.5913	2.4777	4.5749	78.517	94.360	1059.5	-0.25474	undefined	undefined	liquid
359.10	20.900	23.468	0.042611	1.5895	2.4801	4.5697	78.513	94.351	1060.1	-0.25487	undefined	undefined	liquid
359.10	21.000	23.471	0.042605	1.5878	2.4825	4.5646	78.509	94.341	1060.7	-0.25501	undefined	undefined	liquid
359.10	21.100	23.475	0.042599	1.5861	2.4849	4.5594	78.505	94.332	1061.3	-0.25515	undefined	undefined	liquid
359.10	21.200	23.478	0.042593	1.5844	2.4873	4.5543	78.501	94.323	1061.9	-0.25529	undefined	undefined	liquid
359.10	21.300	23.481	0.042587	1.5826	2.4898	4.5491	78.497	94.314	1062.5	-0.25542	undefined	undefined	liquid
359.10	21.400	23.485	0.042581	1.5809	2.4922	4.5440	78.493	94.305	1063.1	-0.25556	undefined	undefined	liquid
359.10	21.500	23.488	0.042575	1.5792	2.4946	4.5388	78.488	94.296	1063.7	-0.25569	undefined	undefined	liquid
359.10	21.600	23.491	0.042569	1.5775	2.4970	4.5337	78.484	94.287	1064.3	-0.25583	undefined	undefined	liquid
359.10	21.700	23.494	0.042563	1.5758	2.4994	4.5285	78.480	94.278	1064.9	-0.25596	undefined	undefined	liquid
359.10	21.800	23.498	0.042557	1.5741	2.5018	4.5234	78.476	94.269	1065.5	-0.25610	undefined	undefined	liquid
