Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
900.00	95.050	9.2536	0.10807	18.704	28.976	167.02	24.603	33.867	834.03	-0.74207	45.573	0.077293	supercritical
900.00	96.050	9.3240	0.10725	18.700	29.001	166.93	24.611	33.876	836.38	-0.74289	45.657	0.077477	supercritical
900.00	97.050	9.3941	0.10645	18.695	29.026	166.84	24.618	33.886	838.71	-0.74369	45.741	0.077662	supercritical
900.00	98.050	9.4637	0.10567	18.691	29.052	166.75	24.626	33.895	841.05	-0.74447	45.825	0.077846	supercritical
900.00	99.050	9.5330	0.10490	18.687	29.077	166.66	24.634	33.904	843.38	-0.74523	45.909	0.078031	supercritical
900.00	100.05	9.6019	0.10415	18.682	29.102	166.57	24.641	33.913	845.71	-0.74598	45.994	0.078216	supercritical
900.00	101.05	9.6704	0.10341	18.678	29.127	166.48	24.649	33.922	848.03	-0.74671	46.079	0.078400	supercritical
900.00	102.05	9.7385	0.10269	18.674	29.153	166.40	24.656	33.931	850.35	-0.74742	46.163	0.078585	supercritical
900.00	103.05	9.8063	0.10198	18.670	29.178	166.31	24.664	33.939	852.66	-0.74812	46.248	0.078770	supercritical
900.00	104.05	9.8736	0.10128	18.665	29.204	166.23	24.672	33.948	854.97	-0.74880	46.333	0.078955	supercritical
900.00	105.05	9.9406	0.10060	18.661	29.229	166.14	24.679	33.957	857.28	-0.74947	46.418	0.079140	supercritical
900.00	106.05	10.007	0.099927	18.657	29.254	166.06	24.687	33.965	859.58	-0.75012	46.504	0.079325	supercritical
900.00	107.05	10.074	0.099269	18.653	29.280	165.98	24.694	33.974	861.88	-0.75076	46.589	0.079510	supercritical
900.00	108.05	10.140	0.098624	18.649	29.305	165.89	24.702	33.982	864.17	-0.75138	46.674	0.079695	supercritical
900.00	109.05	10.205	0.097990	18.645	29.331	165.81	24.709	33.990	866.46	-0.75199	46.760	0.079880	supercritical
900.00	110.05	10.270	0.097368	18.641	29.357	165.73	24.717	33.998	868.75	-0.75258	46.846	0.080065	supercritical
900.00	111.05	10.335	0.096756	18.637	29.382	165.65	24.724	34.007	871.03	-0.75316	46.932	0.080250	supercritical
900.00	112.05	10.400	0.096156	18.634	29.408	165.58	24.732	34.015	873.30	-0.75373	47.018	0.080436	supercritical
900.00	113.05	10.464	0.095566	18.630	29.433	165.50	24.739	34.023	875.58	-0.75428	47.104	0.080621	supercritical
900.00	114.05	10.528	0.094986	18.626	29.459	165.42	24.746	34.031	877.85	-0.75482	47.190	0.080806	supercritical
900.00	115.05	10.591	0.094416	18.622	29.485	165.34	24.754	34.038	880.11	-0.75534	47.276	0.080992	supercritical
900.00	116.05	10.655	0.093856	18.619	29.511	165.27	24.761	34.046	882.37	-0.75586	47.363	0.081177	supercritical
900.00	117.05	10.717	0.093306	18.615	29.536	165.19	24.769	34.054	884.63	-0.75636	47.449	0.081363	supercritical
900.00	118.05	10.780	0.092764	18.611	29.562	165.12	24.776	34.062	886.88	-0.75684	47.536	0.081548	supercritical
900.00	119.05	10.842	0.092232	18.608	29.588	165.04	24.783	34.069	889.13	-0.75732	47.622	0.081734	supercritical
900.00	120.05	10.904	0.091708	18.604	29.614	164.97	24.791	34.077	891.37	-0.75778	47.709	0.081919	supercritical
900.00	121.05	10.966	0.091193	18.601	29.639	164.90	24.798	34.084	893.61	-0.75824	47.796	0.082105	supercritical
900.00	122.05	11.027	0.090686	18.597	29.665	164.82	24.805	34.092	895.84	-0.75868	47.883	0.082291	supercritical
900.00	123.05	11.088	0.090187	18.594	29.691	164.75	24.813	34.099	898.07	-0.75911	47.970	0.082476	supercritical
900.00	124.05	11.149	0.089696	18.590	29.717	164.68	24.820	34.106	900.30	-0.75952	48.057	0.082662	supercritical
900.00	125.05	11.209	0.089213	18.587	29.743	164.61	24.827	34.114	902.52	-0.75993	48.145	0.082848	supercritical
900.00	126.05	11.269	0.088738	18.584	29.769	164.54	24.834	34.121	904.74	-0.76033	48.232	0.083033	supercritical
900.00	127.05	11.329	0.088270	18.580	29.795	164.47	24.842	34.128	906.96	-0.76071	48.320	0.083219	supercritical
900.00	128.05	11.388	0.087809	18.577	29.821	164.40	24.849	34.135	909.17	-0.76109	48.407	0.083405	supercritical
900.00	129.05	11.448	0.087355	18.574	29.847	164.33	24.856	34.142	911.37	-0.76146	48.495	0.083591	supercritical
900.00	130.05	11.506	0.086908	18.571	29.873	164.27	24.863	34.149	913.57	-0.76181	48.582	0.083777	supercritical
900.00	131.05	11.565	0.086467	18.567	29.899	164.20	24.871	34.156	915.77	-0.76216	48.670	0.083963	supercritical
900.00	132.05	11.623	0.086034	18.564	29.925	164.13	24.878	34.163	917.96	-0.76249	48.758	0.084148	supercritical
900.00	133.05	11.681	0.085606	18.561	29.951	164.07	24.885	34.169	920.15	-0.76282	48.846	0.084334	supercritical
900.00	134.05	11.739	0.085185	18.558	29.977	164.00	24.892	34.176	922.34	-0.76314	48.934	0.084520	supercritical
900.00	135.05	11.797	0.084770	18.555	30.003	163.93	24.899	34.183	924.52	-0.76344	49.022	0.084706	supercritical
900.00	136.05	11.854	0.084361	18.552	30.029	163.87	24.906	34.190	926.69	-0.76374	49.111	0.084892	supercritical
900.00	137.05	11.911	0.083958	18.549	30.055	163.80	24.913	34.196	928.86	-0.76403	49.199	0.085078	supercritical
900.00	138.05	11.967	0.083560	18.546	30.082	163.74	24.921	34.203	931.03	-0.76432	49.287	0.085264	supercritical
